dataset,method,seed,run_tag,ablation_family,config,run_dir_exists,log_exists,metrics_csv_exists,checkpoint_dir_exists,checkpoint_files,log_starts,completed,status,total_time_sec,mean_task_time_sec,max_task_time_sec,n_completed_tasks,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,der,1024,ntasks5,tasklen,ablate_permuted_mnist_der_ntasks5.yaml,True,True,True,True,0,1,True,completed,606.9,121.38,139.9,5,89.15,10.095,-10.095,0.35
permuted_mnist,si_der,42,ntasks10,tasklen,ablate_permuted_mnist_si_der_ntasks10.yaml,True,True,True,True,0,1,True,completed,1797.1,179.71,195.4,10,70.746,29.3778,-29.3778,1.1433
permuted_mnist,si_der,123,ntasks10,tasklen,ablate_permuted_mnist_si_der_ntasks10.yaml,True,True,True,True,0,1,True,completed,1823.8,182.38,196.7,10,72.82,27.1589,-27.1589,1.5
permuted_mnist,si_der,456,ntasks10,tasklen,ablate_permuted_mnist_si_der_ntasks10.yaml,True,True,True,True,0,1,True,completed,1920.8,192.08,201.5,10,70.309,29.9544,-29.9544,0.5522
permuted_mnist,si_der,789,ntasks10,tasklen,ablate_permuted_mnist_si_der_ntasks10.yaml,True,True,True,True,0,1,True,completed,2116.3,211.63,222.2,10,68.646,31.6756,-31.6756,1.5244
permuted_mnist,si_der,1024,ntasks10,tasklen,ablate_permuted_mnist_si_der_ntasks10.yaml,True,True,True,True,0,1,True,completed,2094.3,209.43,222.5,10,71.808,28.1544,-28.1544,0.2444
permuted_mnist,si_der,42,ntasks5,tasklen,ablate_permuted_mnist_si_der_ntasks5.yaml,True,True,True,True,0,1,True,completed,983.8,196.76,204.7,5,85.672,14.295,-14.295,-0.1425
permuted_mnist,si_der,123,ntasks5,tasklen,ablate_permuted_mnist_si_der_ntasks5.yaml,True,True,True,True,0,1,True,completed,962.3,192.46,215.5,5,86.898,12.8025,-12.8025,2.43
permuted_mnist,si_der,456,ntasks5,tasklen,ablate_permuted_mnist_si_der_ntasks5.yaml,True,True,True,True,0,1,True,completed,988.3,197.66,234.8,5,88.666,10.595,-10.595,0.25
permuted_mnist,si_der,789,ntasks5,tasklen,ablate_permuted_mnist_si_der_ntasks5.yaml,True,True,True,True,0,1,True,completed,991.4,198.28,220.0,5,83.006,17.5475,-17.5475,2.47
permuted_mnist,si_der,1024,ntasks5,tasklen,ablate_permuted_mnist_si_der_ntasks5.yaml,True,True,True,True,0,1,True,completed,991.4,198.28,206.9,5,88.812,10.4575,-10.4575,-0.195
split_cifar10,agem_distill,42,buf100,buffer,ablate_split_cifar10_agem_distill_buf100.yaml,True,True,True,True,0,1,True,completed,175.3,35.06,43.3,5,17.09,77.625,-77.625,-16.0042
split_cifar10,agem_distill,123,buf100,buffer,ablate_split_cifar10_agem_distill_buf100.yaml,True,True,True,True,0,1,True,completed,180.5,36.1,43.8,5,16.6,78.0875,-78.0875,-15.9917
split_cifar10,agem_distill,456,buf100,buffer,ablate_split_cifar10_agem_distill_buf100.yaml,True,True,True,True,0,1,True,completed,181.0,36.2,44.1,5,17.21,81.475,-81.475,-14.7292
split_cifar10,agem_distill,789,buf100,buffer,ablate_split_cifar10_agem_distill_buf100.yaml,True,True,True,True,0,1,True,completed,156.7,31.34,42.0,5,16.84,78.6375,-78.6375,-14.8167
split_cifar10,agem_distill,1024,buf100,buffer,ablate_split_cifar10_agem_distill_buf100.yaml,True,True,True,True,0,1,True,completed,175.6,35.12,45.3,5,17.2,81.375,-81.375,-15.7792
split_cifar10,agem_distill,42,buf200,buffer,ablate_split_cifar10_agem_distill_buf200.yaml,True,True,True,True,0,1,True,completed,184.8,36.96,43.0,5,17.17,77.2125,-77.2125,-16.0042
split_cifar10,agem_distill,123,buf200,buffer,ablate_split_cifar10_agem_distill_buf200.yaml,True,True,True,True,0,1,True,completed,146.9,29.38,36.6,5,16.37,80.475,-80.475,-15.9917
split_cifar10,agem_distill,456,buf200,buffer,ablate_split_cifar10_agem_distill_buf200.yaml,True,True,True,True,0,1,True,completed,171.2,34.24,41.2,5,17.43,81.6,-81.6,-14.7292
split_cifar10,agem_distill,789,buf200,buffer,ablate_split_cifar10_agem_distill_buf200.yaml,True,True,True,True,0,1,True,completed,167.3,33.46,41.4,5,16.66,79.7625,-79.7625,-14.8167
split_cifar10,agem_distill,1024,buf200,buffer,ablate_split_cifar10_agem_distill_buf200.yaml,True,True,True,True,0,1,True,completed,163.4,32.68,37.8,5,17.28,81.2,-81.2,-15.7792
split_cifar10,agem_distill,42,buf500,buffer,ablate_split_cifar10_agem_distill_buf500.yaml,True,True,True,True,0,1,True,completed,155.8,31.16,36.2,5,15.38,76.25,-76.25,-16.0042
split_cifar10,agem_distill,123,buf500,buffer,ablate_split_cifar10_agem_distill_buf500.yaml,True,True,True,True,0,1,True,completed,168.1,33.62,41.4,5,17.03,79.8,-79.8,-15.9917
split_cifar10,agem_distill,456,buf500,buffer,ablate_split_cifar10_agem_distill_buf500.yaml,True,True,True,True,0,1,True,completed,152.7,30.54,36.0,5,15.1,80.5375,-80.5375,-14.7292
split_cifar10,agem_distill,789,buf500,buffer,ablate_split_cifar10_agem_distill_buf500.yaml,True,True,True,True,0,1,True,completed,165.0,33.0,42.9,5,17.32,79.825,-79.825,-14.8167
split_cifar10,agem_distill,1024,buf500,buffer,ablate_split_cifar10_agem_distill_buf500.yaml,True,True,True,True,0,1,True,completed,158.3,31.66,41.6,5,17.44,79.8125,-79.8125,-15.7792
split_cifar10,der,42,buf100,buffer,ablate_split_cifar10_der_buf100.yaml,True,True,True,True,0,1,True,completed,147.0,29.4,34.5,5,17.0,79.95,-79.95,-15.9292
split_cifar10,der,123,buf100,buffer,ablate_split_cifar10_der_buf100.yaml,True,True,True,True,0,1,True,completed,149.2,29.84,32.8,5,16.7,82.3625,-82.3625,-16.0417
