dataset,method,metric,mean,std
split_cifar10,si_der,forward_transfer,-13.1367,2.932223985305351
split_cifar100,fine_tune,avg_accuracy,2.13,0.2966479394838266
split_cifar100,fine_tune,forgetting,38.92,3.1869021596214715
split_cifar100,fine_tune,backward_transfer,-38.92,3.1869021596214715
split_cifar100,fine_tune,forward_transfer,-2.7345,0.0
split_cifar100,joint_training,avg_accuracy,46.746,1.2792888649558392
split_cifar100,joint_training,forgetting,6.10104,1.0963541093095788
split_cifar100,joint_training,backward_transfer,13.351560000000001,3.278440516922642
split_cifar100,joint_training,forward_transfer,-2.7345,0.0
split_cifar100,ewc,avg_accuracy,2.05,0.2983286778035259
split_cifar100,ewc,forgetting,34.42948,2.8495037922417312
split_cifar100,ewc,backward_transfer,-34.42948,2.8495037922417312
split_cifar100,ewc,forward_transfer,-2.7345,0.0
split_cifar100,agem,avg_accuracy,2.196,0.4775772188871659
split_cifar100,agem,forgetting,40.4716,3.519449650868724
split_cifar100,agem,backward_transfer,-40.4716,3.519449650868724
split_cifar100,agem,forward_transfer,-2.7345,0.0
split_cifar100,lwf,avg_accuracy,2.6079999999999997,0.23763417262675
split_cifar100,lwf,forgetting,42.090520000000005,1.933918915570143
split_cifar100,lwf,backward_transfer,-42.090520000000005,1.933918915570143
split_cifar100,lwf,forward_transfer,-2.7345,0.0
split_cifar100,der,avg_accuracy,2.6799999999999997,0.32395987405850124
split_cifar100,der,forgetting,44.74948,2.154169614259751
split_cifar100,der,backward_transfer,-44.74948,2.154169614259751
split_cifar100,der,forward_transfer,-2.69658,0.06763938941179169
split_cifar100,xder,avg_accuracy,2.3899999999999997,0.8350748469448711
split_cifar100,xder,forgetting,45.12632,8.002100555291715
split_cifar100,xder,backward_transfer,-45.12632,8.002100555291715
split_cifar100,xder,forward_transfer,-2.72816,0.009441821858094987
split_cifar100,icarl,avg_accuracy,4.3740000000000006,0.729952053219936
split_cifar100,icarl,forgetting,11.22946,1.0491255349099071
split_cifar100,icarl,backward_transfer,-9.25052,0.8762417514590372
split_cifar100,icarl,forward_transfer,-2.7345,0.0
split_cifar100,er_ewc,avg_accuracy,4.4799999999999995,0.309273341883842
split_cifar100,er_ewc,forgetting,58.27578,2.163901785432971
split_cifar100,er_ewc,backward_transfer,-58.27578,2.163901785432971
split_cifar100,er_ewc,forward_transfer,-2.73028,0.00943620686504914
split_cifar100,progress_compress,avg_accuracy,3.5519999999999996,0.2365797962633326
split_cifar100,progress_compress,forgetting,52.751580000000004,1.3336361748992842
split_cifar100,progress_compress,backward_transfer,-52.751580000000004,1.3336361748992842
split_cifar100,progress_compress,forward_transfer,-2.7218600000000004,0.01883329498521174
split_cifar100,agem_distill,avg_accuracy,2.722,0.2391024884855865
split_cifar100,agem_distill,forgetting,46.53474,2.1191415226454344
split_cifar100,agem_distill,backward_transfer,-46.53474,2.1191415226454344
split_cifar100,agem_distill,forward_transfer,-2.7345,0.0
split_cifar100,si_der,avg_accuracy,2.8619999999999997,0.17049926686059375
split_cifar100,si_der,forgetting,44.98106,1.7287855456938561
split_cifar100,si_der,backward_transfer,-44.98106,1.7287855456938561
split_cifar100,si_der,forward_transfer,-2.69658,0.06763938941179169
split_mini_imagenet,fine_tune,avg_accuracy,1.94,0.27168251692002554
split_mini_imagenet,fine_tune,forgetting,29.64034,1.4223951237261745
split_mini_imagenet,fine_tune,backward_transfer,-29.64034,1.4223951237261745
split_mini_imagenet,fine_tune,forward_transfer,-2.72922,0.007870959280799329
split_mini_imagenet,joint_training,avg_accuracy,45.18834,2.274359629214342
split_mini_imagenet,joint_training,forgetting,3.5473399999999997,1.4352541039829845
split_mini_imagenet,joint_training,backward_transfer,19.84562,1.0789925866288423
split_mini_imagenet,joint_training,forward_transfer,-2.7309799999999997,0.004819958506045574
split_mini_imagenet,ewc,avg_accuracy,2.07498,0.10018039728409947
split_mini_imagenet,ewc,forgetting,28.96314,2.1664357463354422
split_mini_imagenet,ewc,backward_transfer,-28.96314,2.1664357463354422
split_mini_imagenet,ewc,forward_transfer,-2.72922,0.007870959280799329
split_mini_imagenet,agem,avg_accuracy,1.935,0.21605715678958645
split_mini_imagenet,agem,forgetting,32.20524,2.3527542068817993
split_mini_imagenet,agem,backward_transfer,-32.20524,2.3527542068817993
split_mini_imagenet,agem,forward_transfer,-2.72922,0.007870959280799329
split_mini_imagenet,lwf,avg_accuracy,1.76498,0.43788116766995133
split_mini_imagenet,lwf,forgetting,28.46666,2.706408064760374
split_mini_imagenet,lwf,backward_transfer,-28.46666,2.706408064760374
split_mini_imagenet,lwf,forward_transfer,-2.72572,0.015198749948597844
split_mini_imagenet,der,avg_accuracy,1.9600000000000002,0.3685921051786108
split_mini_imagenet,der,forgetting,34.34388,1.0340116933574746
split_mini_imagenet,der,backward_transfer,-34.34388,1.0340116933574746
split_mini_imagenet,der,forward_transfer,-2.6292,0.11010844654248823
split_mini_imagenet,xder,avg_accuracy,2.65668,0.3329517412478872
split_mini_imagenet,xder,forgetting,39.80176,3.918944219812271
split_mini_imagenet,xder,backward_transfer,-39.80176,3.918944219812271
split_mini_imagenet,xder,forward_transfer,-2.652,0.06640971314499097
split_mini_imagenet,icarl,avg_accuracy,3.15666,0.5564395501759379
split_mini_imagenet,icarl,forgetting,7.80698,2.0671295017487408
split_mini_imagenet,icarl,backward_transfer,-6.2316,2.391682405755413
split_mini_imagenet,icarl,forward_transfer,-2.7345,0.0
split_mini_imagenet,er_ewc,avg_accuracy,3.3366599999999997,0.34457651254837435
split_mini_imagenet,er_ewc,forgetting,44.61578,1.298346705237086
split_mini_imagenet,er_ewc,backward_transfer,-44.61578,1.298346705237086
split_mini_imagenet,er_ewc,forward_transfer,-2.72922,0.007870959280799422
split_mini_imagenet,progress_compress,avg_accuracy,2.67668,0.14757747795649592
split_mini_imagenet,progress_compress,forgetting,43.21578,1.1017143400174116
