dataset,method,model,n_epochs,batch_size,num_workers,fp16,buffer_size,seeds,total_time_sec_mean,total_time_sec_std,caveat_note,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,runtime_hours_mean,runtime_hours_std,estimated_memory_mb,method_family
permuted_mnist,fine_tune,slim_resnet18,1,32,2,False,200,5,783.88,160.43704996041285,Run log contains restarts; final metrics were read from the last completed metrics block.,35.56046,13.128561943640285,70.48456,8.59203549736615,-70.48456,8.59203549736615,0.80612,0.6967380835005361,0.21774444444444443,0.04456584721122579,0.7812,baseline
permuted_mnist,joint_training,slim_resnet18,1,32,2,False,200,5,639.76,81.5363599874314,Run log contains restarts; final metrics were read from the last completed metrics block.,95.3738,1.4815480754940098,1.19068,1.518959667667315,-0.554,1.8409546721741956,1.21556,0.3916378339741961,0.1777111111111111,0.02264898888539761,2048.0,baseline
permuted_mnist,ewc,slim_resnet18,1,32,2,False,200,5,3905.5,1215.2653681398149,Run log contains restarts; final metrics were read from the last completed metrics block.,28.8238,0.8889095567041674,75.02243999999999,1.1628982062072264,-75.02243999999999,1.1628982062072264,0.71022,1.1493135612181733,1.084861111111111,0.3375737133721708,16.0,baseline
permuted_mnist,agem,slim_resnet18,1,32,2,False,200,5,1681.8400000000001,108.4398589080601,Run log contains restarts; final metrics were read from the last completed metrics block.,36.1646,1.3167434450188062,66.902,1.4108354634754567,-66.902,1.4108354634754567,1.566,0.41057699643306855,0.4671777777777778,0.030122183030016694,0.7812,baseline
permuted_mnist,lwf,slim_resnet18,1,32,2,False,200,5,551.04,6.2500399998719915,Run log contains restarts; final metrics were read from the last completed metrics block.,32.968599999999995,1.8762961653214576,70.46866,2.2305649683432223,-70.46866,2.2305649683432223,0.89734,0.33858257929196534,0.15306666666666666,0.0017361222221866643,0.7812,baseline
permuted_mnist,der,slim_resnet18,1,32,2,False,200,5,1621.3,100.89784437737012,Run log contains restarts; final metrics were read from the last completed metrics block.,70.9626,1.4087144139249843,29.24468,1.6047642839370524,-29.24468,1.6047642839370524,1.1191,0.5029857900577311,0.4503611111111111,0.028027178993713923,0.9375,hybrid
permuted_mnist,xder,slim_resnet18,1,32,2,False,200,5,1007.4399999999999,12.966996568211128,Run log contains restarts; final metrics were read from the last completed metrics block.,71.1744,1.1223588107196447,28.971780000000003,1.2745893326872004,-28.971780000000003,1.2745893326872004,0.89178,0.6237094852573591,0.27984444444444445,0.003601943491169758,0.9375,hybrid
permuted_mnist,icarl,slim_resnet18,1,32,2,False,500,5,1117.92,27.70581166470302,Run log contains restarts; final metrics were read from the last completed metrics block.,20.3134,2.474743784717926,5.6791,4.065983592564042,-4.5738,3.6872994745477343,-0.04890000000000001,0.5775077531947082,0.31053333333333333,0.007696058795750839,2.3438,hybrid
permuted_mnist,er_ewc,slim_resnet18,1,32,2,False,200,5,3185.32,292.7168034124448,Run log contains restarts; final metrics were read from the last completed metrics block.,56.3174,3.0426128245309174,44.39066,2.9191415986553317,-44.39066,2.9191415986553317,1.1593200000000001,0.5794077726437574,0.8848111111111111,0.08131022317012356,16.0,hybrid
permuted_mnist,progress_compress,slim_resnet18,1,32,2,False,200,5,959.8799999999999,628.74527990276,Run log contains restarts; final metrics were read from the last completed metrics block.,28.375999999999998,0.8329753897925197,76.00354,0.7921251719267667,-76.00354,0.7921251719267667,1.23422,0.35298059720046937,0.2666333333333333,0.17465146663965556,256.0,hybrid
