dataset,metric,method_a,method_b,n_pairs,rank_biserial,magnitude
permuted_mnist,forgetting,joint_training,er_ewc,5,-1.0,large
permuted_mnist,forgetting,joint_training,progress_compress,5,-1.0,large
permuted_mnist,forgetting,joint_training,agem_distill,5,-1.0,large
permuted_mnist,forgetting,joint_training,si_der,5,-1.0,large
permuted_mnist,forgetting,ewc,agem,5,1.0,large
permuted_mnist,forgetting,ewc,lwf,5,1.0,large
permuted_mnist,forgetting,ewc,der,5,1.0,large
permuted_mnist,forgetting,ewc,xder,5,1.0,large
permuted_mnist,forgetting,ewc,icarl,5,1.0,large
permuted_mnist,forgetting,ewc,er_ewc,5,1.0,large
permuted_mnist,forgetting,ewc,progress_compress,5,-0.866667,large
permuted_mnist,forgetting,ewc,agem_distill,5,1.0,large
permuted_mnist,forgetting,ewc,si_der,5,1.0,large
permuted_mnist,forgetting,agem,lwf,5,-1.0,large
permuted_mnist,forgetting,agem,der,5,1.0,large
permuted_mnist,forgetting,agem,xder,5,1.0,large
permuted_mnist,forgetting,agem,icarl,5,1.0,large
permuted_mnist,forgetting,agem,er_ewc,5,1.0,large
permuted_mnist,forgetting,agem,progress_compress,5,-1.0,large
permuted_mnist,forgetting,agem,agem_distill,5,1.0,large
permuted_mnist,forgetting,agem,si_der,5,1.0,large
permuted_mnist,forgetting,lwf,der,5,1.0,large
permuted_mnist,forgetting,lwf,xder,5,1.0,large
permuted_mnist,forgetting,lwf,icarl,5,1.0,large
permuted_mnist,forgetting,lwf,er_ewc,5,1.0,large
permuted_mnist,forgetting,lwf,progress_compress,5,-1.0,large
permuted_mnist,forgetting,lwf,agem_distill,5,1.0,large
permuted_mnist,forgetting,lwf,si_der,5,1.0,large
permuted_mnist,forgetting,der,xder,5,0.466667,medium
permuted_mnist,forgetting,der,icarl,5,1.0,large
permuted_mnist,forgetting,der,er_ewc,5,-1.0,large
permuted_mnist,forgetting,der,progress_compress,5,-1.0,large
permuted_mnist,forgetting,der,agem_distill,5,-1.0,large
permuted_mnist,forgetting,der,si_der,5,-0.066667,negligible
permuted_mnist,forgetting,xder,icarl,5,1.0,large
permuted_mnist,forgetting,xder,er_ewc,5,-1.0,large
permuted_mnist,forgetting,xder,progress_compress,5,-1.0,large
permuted_mnist,forgetting,xder,agem_distill,5,-1.0,large
