dataset,method,seed,run_name,config_name,model,n_epochs,batch_size,num_workers,fp16,buffer_size,total_time_sec,log_starts,completed,caveat_note,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,fine_tune,42,permuted_mnist_fine_tune_seed42,permuted_mnist_finetune.yaml,slim_resnet18,1,32,2,False,200,1070.7,5,True,Run log contains restarts; final metrics were read from the last completed metrics block.,58.9633,55.235,-55.235,1.535
permuted_mnist,fine_tune,123,permuted_mnist_fine_tune_seed123,permuted_mnist_finetune.yaml,slim_resnet18,1,32,2,False,200,720.8,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,31.514,72.5556,-72.5556,0.54
permuted_mnist,fine_tune,456,permuted_mnist_fine_tune_seed456,permuted_mnist_finetune.yaml,slim_resnet18,1,32,2,False,200,707.9,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,29.192,74.7356,-74.7356,0.2367
permuted_mnist,fine_tune,789,permuted_mnist_fine_tune_seed789,permuted_mnist_finetune.yaml,slim_resnet18,1,32,2,False,200,713.6,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,29.551,74.4322,-74.4322,1.57
permuted_mnist,fine_tune,1024,permuted_mnist_fine_tune_seed1024,permuted_mnist_finetune.yaml,slim_resnet18,1,32,2,False,200,706.4,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,28.582,75.4644,-75.4644,0.1489
permuted_mnist,icarl,42,permuted_mnist_icarl_seed42,permuted_mnist_icarl.yaml,slim_resnet18,1,32,2,False,500,1079.5,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,21.759,8.5967,-7.6844,0.7444
permuted_mnist,icarl,123,permuted_mnist_icarl_seed123,permuted_mnist_icarl.yaml,slim_resnet18,1,32,2,False,500,1100.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,23.789,10.4733,-8.4367,-0.4967
permuted_mnist,icarl,456,permuted_mnist_icarl_seed456,permuted_mnist_icarl.yaml,slim_resnet18,1,32,2,False,500,1124.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,19.605,6.16,-5.2556,0.1878
permuted_mnist,icarl,789,permuted_mnist_icarl_seed789,permuted_mnist_icarl.yaml,slim_resnet18,1,32,2,False,500,1145.0,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,17.517,0.9344,-0.6456,0.0333
permuted_mnist,icarl,1024,permuted_mnist_icarl_seed1024,permuted_mnist_icarl.yaml,slim_resnet18,1,32,2,False,500,1140.5,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,18.897,2.2311,-0.8467,-0.7133
permuted_mnist,joint_training,42,permuted_mnist_joint_training_seed42,permuted_mnist_joint.yaml,slim_resnet18,1,32,2,False,200,721.5,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,92.732,3.9011,-3.8111,0.5878
permuted_mnist,joint_training,123,permuted_mnist_joint_training_seed123,permuted_mnist_joint.yaml,slim_resnet18,1,32,2,False,200,695.9,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,95.869,0.64,0.71,1.5644
permuted_mnist,joint_training,456,permuted_mnist_joint_training_seed456,permuted_mnist_joint.yaml,slim_resnet18,1,32,2,False,200,642.8,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,96.084,0.4267,0.1611,1.1167
permuted_mnist,joint_training,789,permuted_mnist_joint_training_seed789,permuted_mnist_joint.yaml,slim_resnet18,1,32,2,False,200,627.7,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,95.993,0.5967,-0.02,1.4956
permuted_mnist,joint_training,1024,permuted_mnist_joint_training_seed1024,permuted_mnist_joint.yaml,slim_resnet18,1,32,2,False,200,510.9,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,96.191,0.3889,0.19,1.3133
permuted_mnist,lwf,42,permuted_mnist_lwf_seed42,permuted_mnist_lwf.yaml,slim_resnet18,1,32,2,False,200,561.8,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,34.479,68.9344,-68.9344,1.1111
permuted_mnist,lwf,123,permuted_mnist_lwf_seed123,permuted_mnist_lwf.yaml,slim_resnet18,1,32,2,False,200,548.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,35.057,67.6944,-67.6944,0.5356
permuted_mnist,lwf,456,permuted_mnist_lwf_seed456,permuted_mnist_lwf.yaml,slim_resnet18,1,32,2,False,200,548.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,33.15,70.4456,-70.4456,0.6233
permuted_mnist,lwf,789,permuted_mnist_lwf_seed789,permuted_mnist_lwf.yaml,slim_resnet18,1,32,2,False,200,550.8,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,31.44,72.15,-72.15,1.3511
permuted_mnist,lwf,1024,permuted_mnist_lwf_seed1024,permuted_mnist_lwf.yaml,slim_resnet18,1,32,2,False,200,546.0,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,30.717,73.1189,-73.1189,0.8656
permuted_mnist,progress_compress,42,permuted_mnist_progress_compress_seed42,permuted_mnist_progress_compress.yaml,slim_resnet18,1,32,2,False,200,549.7,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,29.379,75.0067,-75.0067,1.08
permuted_mnist,progress_compress,123,permuted_mnist_progress_compress_seed123,permuted_mnist_progress_compress.yaml,slim_resnet18,1,32,2,False,200,557.0,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,28.798,75.6544,-75.6544,1.14
permuted_mnist,progress_compress,456,permuted_mnist_progress_compress_seed456,permuted_mnist_progress_compress.yaml,slim_resnet18,1,32,2,False,200,693.8,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,28.233,76.1544,-76.1544,1.63
permuted_mnist,progress_compress,789,permuted_mnist_progress_compress_seed789,permuted_mnist_progress_compress.yaml,slim_resnet18,1,32,2,False,200,2046.1,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,27.123,77.1744,-77.1744,1.5467
permuted_mnist,progress_compress,1024,permuted_mnist_progress_compress_seed1024,permuted_mnist_progress_compress.yaml,slim_resnet18,1,32,2,False,200,952.8,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,28.347,76.0278,-76.0278,0.7744
permuted_mnist,si_der,42,permuted_mnist_si_der_seed42,permuted_mnist_si_der.yaml,slim_resnet18,1,32,2,False,200,1839.0,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,70.746,29.3778,-29.3778,1.1433
permuted_mnist,si_der,123,permuted_mnist_si_der_seed123,permuted_mnist_si_der.yaml,slim_resnet18,1,32,2,False,200,1668.6,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,72.82,27.1589,-27.1589,1.5
permuted_mnist,si_der,456,permuted_mnist_si_der_seed456,permuted_mnist_si_der.yaml,slim_resnet18,1,32,2,False,200,1832.5,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,70.309,29.9544,-29.9544,0.5522
permuted_mnist,si_der,789,permuted_mnist_si_der_seed789,permuted_mnist_si_der.yaml,slim_resnet18,1,32,2,False,200,1671.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,68.646,31.6756,-31.6756,1.5244
permuted_mnist,si_der,1024,permuted_mnist_si_der_seed1024,permuted_mnist_si_der.yaml,slim_resnet18,1,32,2,False,200,1679.7,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,71.808,28.1544,-28.1544,0.2444
permuted_mnist,xder,42,permuted_mnist_xder_seed42,permuted_mnist_xder.yaml,slim_resnet18,1,32,2,False,200,993.2,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,70.795,29.2833,-29.2833,0.87
permuted_mnist,xder,123,permuted_mnist_xder_seed123,permuted_mnist_xder.yaml,slim_resnet18,1,32,2,False,200,1028.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,71.348,28.7944,-28.7944,0.3822
permuted_mnist,xder,456,permuted_mnist_xder_seed456,permuted_mnist_xder.yaml,slim_resnet18,1,32,2,False,200,1007.4,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,69.445,30.9856,-30.9856,0.9778
permuted_mnist,xder,789,permuted_mnist_xder_seed789,permuted_mnist_xder.yaml,slim_resnet18,1,32,2,False,200,1001.6,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,72.168,27.8367,-27.8367,1.8856
permuted_mnist,xder,1024,permuted_mnist_xder_seed1024,permuted_mnist_xder.yaml,slim_resnet18,1,32,2,False,200,1006.7,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,72.116,27.9589,-27.9589,0.3433
split_cifar10,agem,42,split_cifar10_agem_seed42,split_cifar10_agem.yaml,slim_resnet18,1,32,0,False,200,91.2,1,True,,16.07,76.125,-76.125,-16.0042
split_cifar10,agem,123,split_cifar10_agem_seed123,split_cifar10_agem.yaml,slim_resnet18,1,32,0,False,200,98.0,1,True,,17.25,80.3125,-80.3125,-15.9917
split_cifar10,agem,456,split_cifar10_agem_seed456,split_cifar10_agem.yaml,slim_resnet18,1,32,0,False,200,102.9,1,True,,16.2,81.875,-81.875,-14.7292
split_cifar10,agem,789,split_cifar10_agem_seed789,split_cifar10_agem.yaml,slim_resnet18,1,32,0,False,200,107.3,1,True,,14.42,78.4375,-78.4375,-14.8167
split_cifar10,agem,1024,split_cifar10_agem_seed1024,split_cifar10_agem.yaml,slim_resnet18,1,32,0,False,200,101.5,1,True,,15.95,80.0,-80.0,-15.7792
split_cifar10,agem_distill,42,split_cifar10_agem_distill_seed42,split_cifar10_agem_distill.yaml,slim_resnet18,1,32,0,False,200,110.6,1,True,,17.17,77.2125,-77.2125,-16.0042
split_cifar10,agem_distill,123,split_cifar10_agem_distill_seed123,split_cifar10_agem_distill.yaml,slim_resnet18,1,32,0,False,200,109.9,1,True,,16.37,80.475,-80.475,-15.9917
split_cifar10,agem_distill,456,split_cifar10_agem_distill_seed456,split_cifar10_agem_distill.yaml,slim_resnet18,1,32,0,False,200,112.3,1,True,,17.43,81.6,-81.6,-14.7292
split_cifar10,agem_distill,789,split_cifar10_agem_distill_seed789,split_cifar10_agem_distill.yaml,slim_resnet18,1,32,0,False,200,107.5,1,True,,16.66,79.7625,-79.7625,-14.8167
split_cifar10,agem_distill,1024,split_cifar10_agem_distill_seed1024,split_cifar10_agem_distill.yaml,slim_resnet18,1,32,0,False,200,112.2,1,True,,17.28,81.2,-81.2,-15.7792
split_cifar10,der,42,split_cifar10_der_seed42,split_cifar10_der.yaml,slim_resnet18,1,32,0,False,200,97.8,1,True,,15.85,78.5375,-78.5375,-16.0417
split_cifar10,der,123,split_cifar10_der_seed123,split_cifar10_der.yaml,slim_resnet18,1,32,0,False,200,99.1,1,True,,17.11,79.4875,-79.4875,-16.0417
split_cifar10,der,456,split_cifar10_der_seed456,split_cifar10_der.yaml,slim_resnet18,1,32,0,False,200,96.3,1,True,,16.31,81.9125,-81.9125,-9.2167
split_cifar10,der,789,split_cifar10_der_seed789,split_cifar10_der.yaml,slim_resnet18,1,32,0,False,200,99.1,1,True,,16.88,80.2,-80.2,-11.7667
split_cifar10,der,1024,split_cifar10_der_seed1024,split_cifar10_der.yaml,slim_resnet18,1,32,0,False,200,100.8,1,True,,16.97,81.1875,-81.1875,-12.6167
split_cifar10,er_ewc,42,split_cifar10_er_ewc_seed42,split_cifar10_er_ewc.yaml,slim_resnet18,1,32,0,False,200,127.1,1,True,,22.94,73.0625,-73.0625,-15.5167
split_cifar10,er_ewc,123,split_cifar10_er_ewc_seed123,split_cifar10_er_ewc.yaml,slim_resnet18,1,32,0,False,200,124.9,1,True,,23.6,73.325,-73.325,-15.5792
split_cifar10,er_ewc,456,split_cifar10_er_ewc_seed456,split_cifar10_er_ewc.yaml,slim_resnet18,1,32,0,False,200,126.2,1,True,,24.67,71.6375,-71.6375,-15.7417
split_cifar10,er_ewc,789,split_cifar10_er_ewc_seed789,split_cifar10_er_ewc.yaml,slim_resnet18,1,32,0,False,200,122.2,1,True,,22.03,76.975,-76.975,-14.2042
split_cifar10,er_ewc,1024,split_cifar10_er_ewc_seed1024,split_cifar10_er_ewc.yaml,slim_resnet18,1,32,0,False,200,123.9,1,True,,24.37,70.8125,-70.8125,-15.4792
split_cifar10,ewc,42,split_cifar10_ewc_seed42,split_cifar10_ewc.yaml,slim_resnet18,1,32,0,False,200,116.7,1,True,,16.59,78.475,-78.475,-16.0042
split_cifar10,ewc,123,split_cifar10_ewc_seed123,split_cifar10_ewc.yaml,slim_resnet18,1,32,0,False,200,115.8,1,True,,16.37,75.15,-75.15,-15.9917
