dataset,method,model,n_epochs,batch_size,num_workers,fp16,buffer_size,seeds,total_time_sec_mean,total_time_sec_std,caveat_note,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,runtime_hours_mean,runtime_hours_std,estimated_memory_mb,method_family,replay,distill,regularize,joint,leader_flag,top_cluster_flag
split_cifar10,ewc,slim_resnet18,1,32,0,False,200,5,111.16,7.508195522227693,,16.894,0.3863029898926478,79.025,2.4723628627286875,-79.025,2.4723628627286875,-15.4642,0.6380757204282258,0.0308777777777777,0.0020856098672854,16.0,baseline,False,False,True,False,False,True
split_cifar10,fine_tune,slim_resnet18,1,32,0,False,200,5,56.7,1.838477631085024,,15.862,0.5988488957992666,78.6075,2.40061190116187,-78.6075,2.40061190116187,-15.4642,0.6380757204282258,0.01575,0.0005106882308569,2.3438,baseline,False,False,False,False,False,True
split_cifar10,icarl,slim_resnet18,1,32,0,False,500,5,74.44,1.588395416764978,,27.248,1.50018998796819,39.755,2.550775004777959,-39.755,2.550775004777959,-16.0417,0.0,0.0206777777777777,0.0004412209491013,7.0312,hybrid,True,True,False,False,False,True
split_cifar10,joint_training,slim_resnet18,1,32,0,False,200,5,54.58,0.3193743884534263,,63.708000000000006,1.9211767227405163,10.9575,3.955095605671246,-7.4275,5.330465211874101,-15.5467,0.3296067732920552,0.0151611111111111,8.871510790372952e-05,2048.0,baseline,True,False,False,True,True,True
split_cifar10,lwf,slim_resnet18,1,32,0,False,200,5,61.760000000000005,1.2157302332343332,,15.932,0.5591690263238841,78.2675,2.71219180276765,-78.2675,2.71219180276765,-15.4642,0.6380757204282258,0.0171555555555555,0.000337702842565,2.3438,baseline,False,True,False,False,False,True
split_cifar10,progress_compress,slim_resnet18,1,32,0,False,200,5,63.24,1.3685759021698474,,17.758000000000003,0.4568041155681518,80.16749999999999,1.071199677931242,-80.16749999999999,1.071199677931242,-13.9442,2.566923012090545,0.0175666666666666,0.0003801599728249,256.0,hybrid,False,True,True,False,False,True
split_cifar10,si_der,slim_resnet18,1,32,0,False,200,5,173.32,24.316702079023784,,17.003999999999998,0.5286113884509103,80.1225,1.3608763261222476,-80.1225,1.3608763261222476,-13.1367,2.932223985305351,0.0481444444444444,0.0067546394663954,16.0,hybrid,True,True,True,False,False,True
split_cifar10,xder,slim_resnet18,1,32,0,False,200,5,107.74,8.938568117992945,,21.216,1.306303946254468,74.1875,3.919950972269936,-74.1875,3.919950972269936,-14.1567,1.8445527913291055,0.0299277777777777,0.0024829355883313,2.8125,hybrid,True,True,False,False,False,True
split_cifar100,agem,slim_resnet18,1,32,0,True,200,5,129.06,5.613198731561177,,2.196,0.4775772188871659,40.4716,3.519449650868724,-40.4716,3.519449650868724,-2.7345,0.0,0.03585,0.0015592218698781,2.3438,baseline,True,False,False,False,False,True
split_cifar100,agem_distill,slim_resnet18,1,32,0,True,200,5,140.32,2.492388412747892,,2.722,0.2391024884855865,46.53474,2.1191415226454344,-46.53474,2.1191415226454344,-2.7345,0.0,0.0389777777777777,0.0006923301146521,2.8125,hybrid,True,True,False,False,False,True
split_cifar100,der,slim_resnet18,1,32,0,True,200,5,114.0,0.7810249675906632,,2.68,0.3239598740585012,44.74948,2.154169614259751,-44.74948,2.154169614259751,-2.69658,0.0676393894117916,0.0316666666666666,0.0002169513798862,2.8125,hybrid,True,True,False,False,False,True
split_cifar100,er_ewc,slim_resnet18,1,32,0,True,200,5,387.76,25.553042871642493,,4.48,0.309273341883842,58.27578,2.163901785432971,-58.27578,2.163901785432971,-2.73028,0.0094362068650491,0.1077111111111111,0.0070980674643451,16.0,hybrid,True,False,True,False,False,True
