dataset,method,method_family,model,seeds,batch_size,num_workers,fp16,buffer_size,estimated_memory_mb,runtime_hours_mean,runtime_hours_std,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,caveat_note,avg_accuracy_mean_std,forgetting_mean_std,backward_transfer_mean_std,forward_transfer_mean_std,runtime_hours_mean_std
split_cifar10,fine_tune,baseline,slim_resnet18,5,32,0,False,200,2.3438,0.01575,0.0005106882308569511,15.862,0.5988488957992666,78.6075,2.40061190116187,-78.6075,2.40061190116187,-15.4642,0.6380757204282258,,15.8620 +/- 0.5988,78.6075 +/- 2.4006,-78.6075 +/- 2.4006,-15.4642 +/- 0.6381,0.0158 +/- 0.0005
split_cifar10,joint_training,baseline,slim_resnet18,5,32,0,False,200,2048.0,0.015161111111111111,8.871510790372952e-05,63.708000000000006,1.9211767227405163,10.9575,3.955095605671246,-7.4275,5.330465211874101,-15.546700000000001,0.3296067732920552,,63.7080 +/- 1.9212,10.9575 +/- 3.9551,-7.4275 +/- 5.3305,-15.5467 +/- 0.3296,0.0152 +/- 0.0001
split_cifar10,ewc,baseline,slim_resnet18,5,32,0,False,200,16.0,0.03087777777777778,0.0020856098672854704,16.894,0.38630298989264783,79.025,2.4723628627286875,-79.025,2.4723628627286875,-15.4642,0.6380757204282258,,16.8940 +/- 0.3863,79.0250 +/- 2.4724,-79.0250 +/- 2.4724,-15.4642 +/- 0.6381,0.0309 +/- 0.0021
split_cifar10,agem,baseline,slim_resnet18,5,32,0,False,200,2.3438,0.027827777777777774,0.001673758061782742,15.978,1.0129017721378522,79.35,2.1770285080816008,-79.35,2.1770285080816008,-15.4642,0.6380757204282258,,15.9780 +/- 1.0129,79.3500 +/- 2.1770,-79.3500 +/- 2.1770,-15.4642 +/- 0.6381,0.0278 +/- 0.0017
split_cifar10,lwf,baseline,slim_resnet18,5,32,0,False,200,2.3438,0.017155555555555556,0.00033770284256509257,15.931999999999999,0.5591690263238841,78.2675,2.71219180276765,-78.2675,2.71219180276765,-15.4642,0.6380757204282258,,15.9320 +/- 0.5592,78.2675 +/- 2.7122,-78.2675 +/- 2.7122,-15.4642 +/- 0.6381,0.0172 +/- 0.0003
split_cifar10,der,hybrid,slim_resnet18,5,32,0,False,200,2.8125,0.027394444444444443,0.000466220024356646,16.624000000000002,0.5289423409030515,80.265,1.3377453046077228,-80.265,1.3377453046077228,-13.1367,2.932223985305351,,16.6240 +/- 0.5289,80.2650 +/- 1.3377,-80.2650 +/- 1.3377,-13.1367 +/- 2.9322,0.0274 +/- 0.0005
split_cifar10,xder,hybrid,slim_resnet18,5,32,0,False,200,2.8125,0.02992777777777778,0.0024829355883313736,21.216,1.306303946254468,74.1875,3.919950972269936,-74.1875,3.919950972269936,-14.1567,1.8445527913291058,,21.2160 +/- 1.3063,74.1875 +/- 3.9200,-74.1875 +/- 3.9200,-14.1567 +/- 1.8446,0.0299 +/- 0.0025
split_cifar10,icarl,hybrid,slim_resnet18,5,32,0,False,500,7.0312,0.020677777777777778,0.0004412209491013828,27.248,1.50018998796819,39.754999999999995,2.550775004777959,-39.754999999999995,2.550775004777959,-16.0417,0.0,,27.2480 +/- 1.5002,39.7550 +/- 2.5508,-39.7550 +/- 2.5508,-16.0417 +/- 0.0000,0.0207 +/- 0.0004
split_cifar10,er_ewc,hybrid,slim_resnet18,5,32,0,False,200,16.0,0.03468333333333333,0.0005345327947301021,23.522000000000002,1.0732986536840525,73.1625,2.367471620738036,-73.1625,2.367471620738036,-15.3042,0.6230594875290802,,23.5220 +/- 1.0733,73.1625 +/- 2.3675,-73.1625 +/- 2.3675,-15.3042 +/- 0.6231,0.0347 +/- 0.0005
split_cifar10,progress_compress,hybrid,slim_resnet18,5,32,0,False,200,256.0,0.017566666666666664,0.0003801599728249576,17.758000000000003,0.45680411556815187,80.16749999999999,1.071199677931242,-80.16749999999999,1.071199677931242,-13.9442,2.5669230120905455,,17.7580 +/- 0.4568,80.1675 +/- 1.0712,-80.1675 +/- 1.0712,-13.9442 +/- 2.5669,0.0176 +/- 0.0004
