task,epoch,train_loss
0,0,1.705
0,END,
1,0,1.611
1,END,
2,0,1.8294
2,END,
3,0,2.2538
3,END,
4,0,2.5495
4,END,
5,0,2.8182
5,END,
6,0,3.1528
6,END,
7,0,3.7782
7,END,
8,0,3.4343
8,END,
9,0,3.27
9,END,
10,0,3.3417
10,END,
11,0,3.5803
11,END,
12,0,3.262
12,END,
13,0,3.6056
13,END,
14,0,4.4108
14,END,
15,0,4.0495
15,END,
16,0,4.2422
16,END,
17,0,3.7548
17,END,
18,0,4.3078
18,END,
19,0,4.2771
19,END,
