task,epoch,train_loss
0,0,1.6126
0,END,
1,0,1.8971
1,END,
2,0,1.8903
2,END,
3,0,2.5083
3,END,
4,0,2.5472
4,END,
5,0,3.1021
5,END,
6,0,3.0903
6,END,
7,0,3.5081
7,END,
8,0,3.8208
8,END,
9,0,3.518
9,END,
10,0,3.7429
10,END,
11,0,3.9003
11,END,
12,0,3.7533
12,END,
13,0,4.1427
13,END,
14,0,3.7763
14,END,
15,0,4.1193
15,END,
16,0,4.3206
16,END,
17,0,4.5727
17,END,
18,0,4.3736
18,END,
19,0,4.1142
19,END,
