task,epoch,train_loss
0,0,0.2686
0,END,
1,0,0.9418
1,END,
2,0,0.8663
2,END,
3,0,0.8623
3,END,
4,0,0.8824
4,END,
5,0,0.9321
5,END,
6,0,0.876
6,END,
7,0,0.8916
7,END,
8,0,0.9773
8,END,
9,0,0.9238
9,END,
