task,epoch,train_loss
0,0,1.7116
0,END,
1,0,1.5146
1,END,
2,0,1.8548
2,END,
3,0,2.2927
3,END,
4,0,2.5965
4,END,
5,0,2.9777
5,END,
6,0,3.1747
6,END,
7,0,3.329
7,END,
8,0,3.3893
8,END,
9,0,3.7931
9,END,
10,0,3.8946
10,END,
11,0,3.8878
11,END,
12,0,4.2658
12,END,
13,0,4.5674
13,END,
14,0,4.3443
14,END,
15,0,4.999
15,END,
16,0,4.71
16,END,
17,0,4.3153
17,END,
18,0,4.1325
18,END,
19,0,4.3202
19,END,
