task,epoch,train_loss
0,0,0.3176
0,END,
1,0,1.3576
1,END,
2,0,1.157
2,END,
3,0,1.0518
3,END,
4,0,1.0241
4,END,
5,0,1.0419
5,END,
6,0,1.0065
6,END,
7,0,0.9777
7,END,
8,0,0.9902
8,END,
9,0,0.9912
9,END,
