task,epoch,train_loss
0,0,0.3135
0,END,
1,0,0.2535
1,END,
2,0,0.2406
2,END,
3,0,0.2391
3,END,
4,0,0.2399
4,END,
5,0,0.2433
5,END,
6,0,0.2391
6,END,
7,0,0.2385
7,END,
8,0,0.2454
8,END,
9,0,0.2391
9,END,
