dataset,method,metric,n,mean,std
split_cifar10,progress_compress,forward_transfer,5,-15.411700000000002,0.9057800505641536
split_cifar10,si_der,avg_accuracy,5,16.332,0.5809647149354249
split_cifar10,si_der,forgetting,5,79.74,1.0972764578719434
split_cifar10,si_der,backward_transfer,5,-79.74,1.0972764578719434
split_cifar10,si_der,forward_transfer,5,-15.436699999999998,0.8913472948295738
split_cifar10,xder,avg_accuracy,5,19.45,1.050047617967871
split_cifar10,xder,forgetting,5,76.85249999999999,1.9128757800756455
split_cifar10,xder,backward_transfer,5,-76.85249999999999,1.9128757800756455
split_cifar10,xder,forward_transfer,5,-15.149199999999999,1.0897103973074678
split_cifar100,agem,avg_accuracy,5,4.318,0.37251845591862964
split_cifar100,agem,forgetting,5,7.094760000000001,0.6454594665817519
split_cifar100,agem,backward_transfer,5,1.9915799999999997,0.48189658330392837
split_cifar100,agem,forward_transfer,5,-2.7302800000000005,0.009436206865049167
split_cifar100,agem_distill,avg_accuracy,5,4.118,0.6457708571931688
split_cifar100,agem_distill,forgetting,5,20.30106,1.309060444746536
split_cifar100,agem_distill,backward_transfer,5,-20.2821,1.3068095576632421
split_cifar100,agem_distill,forward_transfer,5,-2.7302800000000005,0.009436206865049167
split_cifar100,der,avg_accuracy,5,2.9639999999999995,0.24915858403835892
split_cifar100,der,forgetting,5,45.80842,4.134663383759312
split_cifar100,der,backward_transfer,5,-45.80842,4.134663383759312
split_cifar100,der,forward_transfer,5,-2.71762,0.026430512670018384
split_cifar100,er_ewc,avg_accuracy,5,4.066,0.34011762671170087
split_cifar100,er_ewc,forgetting,5,59.050520000000006,1.5833261025448921
split_cifar100,er_ewc,backward_transfer,5,-59.050520000000006,1.5833261025448921
split_cifar100,er_ewc,forward_transfer,5,-2.7345,0.0
split_cifar100,ewc,avg_accuracy,5,2.056,0.5207494599133061
split_cifar100,ewc,forgetting,5,35.334720000000004,3.0931335304186267
split_cifar100,ewc,backward_transfer,5,-35.334720000000004,3.0931335304186267
split_cifar100,ewc,forward_transfer,5,-2.7345,0.0
split_cifar100,fine_tune,avg_accuracy,5,2.12,0.6765352910233138
split_cifar100,fine_tune,forgetting,5,37.38528,3.4712318234309842
split_cifar100,fine_tune,backward_transfer,5,-37.38528,3.4712318234309842
split_cifar100,fine_tune,forward_transfer,5,-2.7345,0.0
split_cifar100,icarl,avg_accuracy,5,2.938,0.1958826179118505
split_cifar100,icarl,forgetting,5,44.82528,1.1226757042886437
split_cifar100,icarl,backward_transfer,5,-44.82528,1.1226757042886437
split_cifar100,icarl,forward_transfer,5,-2.7345,0.0
split_cifar100,joint_training,avg_accuracy,5,47.04,1.5567594547649297
split_cifar100,joint_training,forgetting,5,5.3242199999999995,0.9026670521294103
split_cifar100,joint_training,backward_transfer,5,12.124220000000001,2.1304616358902124
split_cifar100,joint_training,forward_transfer,5,-2.7345,0.0
split_cifar100,lwf,avg_accuracy,5,2.472,0.20535335400231478
split_cifar100,lwf,forgetting,5,40.72632,4.447198635883042
split_cifar100,lwf,backward_transfer,5,-40.72632,4.447198635883042
split_cifar100,lwf,forward_transfer,5,-2.7345,0.0
split_cifar100,progress_compress,avg_accuracy,5,3.646,0.2263404515326415
split_cifar100,progress_compress,forgetting,5,52.63578,1.5921620401202894
split_cifar100,progress_compress,backward_transfer,5,-52.63578,1.5921620401202894
split_cifar100,progress_compress,forward_transfer,5,-2.7239600000000004,0.018229865605648345
split_cifar100,si_der,avg_accuracy,4,2.7675,0.225
split_cifar100,si_der,forgetting,4,45.136849999999995,2.192223450441735
split_cifar100,si_der,backward_transfer,4,-45.136849999999995,2.192223450441735
split_cifar100,si_der,forward_transfer,4,-2.7134,0.028508010570130433
split_cifar100,xder,avg_accuracy,5,1.652,0.8975076601344413
split_cifar100,xder,forgetting,5,36.111560000000004,9.185819842180663
split_cifar100,xder,backward_transfer,5,-36.111560000000004,9.185819842180663
split_cifar100,xder,forward_transfer,5,-2.7218600000000004,0.01730803281716329
