task,epoch,train_loss
0,0,1.5541
0,END,
1,0,1.771
1,END,
2,0,2.0118
2,END,
3,0,2.22
3,END,
4,0,2.332
4,END,
5,0,2.3294
5,END,
6,0,2.5251
6,END,
7,0,2.5563
7,END,
8,0,2.5367
8,END,
9,0,2.7958
9,END,
10,0,2.8088
10,END,
11,0,2.902
11,END,
12,0,2.8818
12,END,
13,0,2.9108
13,END,
14,0,2.8927
14,END,
15,0,2.8156
15,END,
16,0,2.8513
16,END,
17,0,3.0095
17,END,
18,0,2.836
18,END,
19,0,2.8803
19,END,
