task,epoch,train_loss
0,0,0.3245
0,END,
1,0,0.2496
1,END,
2,0,0.2445
2,END,
3,0,0.2426
3,END,
4,0,0.2366
4,END,
5,0,0.2299
5,END,
6,0,0.2307
6,END,
7,0,0.2262
7,END,
8,0,0.2215
8,END,
9,0,0.2235
9,END,
