task,epoch,train_loss
0,0,1.2855
0,END,
1,0,1.2834
1,END,
2,0,1.2621
2,END,
3,0,1.2489
3,END,
4,0,1.2702
4,END,
5,0,1.2775
5,END,
6,0,1.2684
6,END,
7,0,1.2542
7,END,
8,0,1.2834
8,END,
