task,epoch,train_loss
0,0,2.3695
0,END,
1,0,3.0923
1,END,
2,0,3.794
2,END,
3,0,5.076
3,END,
4,0,23.8723
4,END,
5,0,525.3254
5,END,
6,0,9.0889
6,END,
7,0,9.36
7,END,
8,0,9.8993
8,END,
9,0,9.9163
9,END,
10,0,8.9981
10,END,
11,0,8.7907
11,END,
12,0,8.9008
12,END,
13,0,9.0414
13,END,
14,0,8.9027
14,END,
15,0,8.6877
15,END,
16,0,8.6844
16,END,
17,0,9.018
17,END,
18,0,9.0228
18,END,
19,0,9.097
19,END,
