task,epoch,train_loss
0,0,0.2745
0,END,
1,0,0.2152
1,END,
2,0,0.2007
2,END,
3,0,0.195
3,END,
4,0,0.1871
4,END,
5,0,0.1914
5,END,
6,0,0.1893
6,END,
7,0,0.1937
7,END,
8,0,0.1934
8,END,
9,0,0.1951
9,END,
