task,epoch,train_loss
0,0,1.4
0,END,
1,0,1.998
1,END,
2,0,2.0409
2,END,
3,0,2.0996
3,END,
4,0,2.0767
4,END,
5,0,2.3703
5,END,
6,0,2.1248
6,END,
7,0,2.0942
7,END,
8,0,2.0964
8,END,
9,0,1.7781
9,END,
10,0,1.7107
10,END,
11,0,1.7956
11,END,
12,0,1.5965
12,END,
13,0,1.8004
13,END,
14,0,1.6135
14,END,
15,0,1.8262
15,END,
16,0,1.6814
16,END,
17,0,1.8828
17,END,
18,0,1.6734
18,END,
19,0,1.7734
19,END,
