task,epoch,train_loss
0,0,0.6501
0,END,
1,0,7.9934
1,END,
2,0,6.3561
2,END,
3,0,4.838
3,END,
4,0,4.8316
4,END,
5,0,5.3424
5,END,
6,0,4.8749
6,END,
7,0,4.2086
7,END,
8,0,4.1477
8,END,
9,0,4.403
9,END,
