task,epoch,train_loss
0,0,0.2686
0,END,
1,0,0.9531
1,END,
2,0,0.9153
2,END,
3,0,0.8669
3,END,
4,0,0.938
4,END,
5,0,0.9257
5,END,
6,0,0.9326
6,END,
7,0,0.9004
7,END,
8,0,0.9142
8,END,
9,0,0.8647
9,END,
