task,epoch,train_loss
0,0,1.6126
0,END,
1,0,1.6632
1,END,
2,0,1.7435
2,END,
3,0,2.372
3,END,
4,0,2.3512
4,END,
5,0,2.5623
5,END,
6,0,2.6891
6,END,
7,0,3.2253
7,END,
8,0,2.8985
8,END,
9,0,3.0563
9,END,
10,0,3.629
10,END,
11,0,3.019
11,END,
12,0,3.4145
12,END,
13,0,3.2292
13,END,
14,0,3.609
14,END,
15,0,3.5295
15,END,
16,0,4.2548
16,END,
17,0,3.5006
17,END,
18,0,3.5583
18,END,
19,0,3.8888
19,END,
