task,epoch,train_loss
0,0,0.3448
0,END,
1,0,0.2477
1,END,
2,0,0.2194
2,END,
3,0,0.2112
3,END,
4,0,0.2045
4,END,
5,0,0.1979
5,END,
6,0,0.1949
6,END,
7,0,0.1936
7,END,
8,0,0.197
8,END,
9,0,0.1926
9,END,
