task,epoch,train_loss
0,0,2.0151
0,END,
1,0,1.9455
1,END,
2,0,2.0839
2,END,
3,0,2.7227
3,END,
4,0,2.9402
4,END,
5,0,3.7189
5,END,
6,0,3.8891
6,END,
7,0,4.2698
7,END,
8,0,4.8019
8,END,
9,0,5.2749
9,END,
10,0,5.2339
10,END,
11,0,5.3403
11,END,
12,0,5.6155
12,END,
13,0,6.0187
13,END,
14,0,6.0875
14,END,
15,0,6.1979
15,END,
16,0,6.5627
16,END,
17,0,6.5951
17,END,
18,0,6.3637
18,END,
19,0,6.5623
19,END,
