task,epoch,train_loss
0,0,1.3617
0,END,
1,0,11.9051
1,END,
2,0,9.2258
2,END,
3,0,8.9794
3,END,
4,0,8.5779
4,END,
5,0,8.8135
5,END,
6,0,8.9912
6,END,
7,0,9.274
7,END,
8,0,9.0416
8,END,
9,0,8.9638
9,END,
10,0,9.0149
10,END,
11,0,8.7227
11,END,
12,0,9.1012
12,END,
13,0,8.9519
13,END,
14,0,8.7909
14,END,
15,0,8.4934
15,END,
16,0,8.5308
16,END,
17,0,8.7496
17,END,
18,0,8.4546
18,END,
19,0,8.8419
19,END,
