task,epoch,train_loss
0,0,1.705
0,END,
1,0,1.3972
1,END,
2,0,1.4932
2,END,
3,0,1.7285
3,END,
4,0,1.7699
4,END,
5,0,1.679
5,END,
6,0,1.6395
6,END,
7,0,1.6399
7,END,
8,0,1.4792
8,END,
9,0,1.8241
9,END,
10,0,1.6324
10,END,
11,0,1.6261
11,END,
12,0,1.6666
12,END,
13,0,1.586
13,END,
14,0,1.3031
14,END,
15,0,1.3843
15,END,
16,0,1.3076
16,END,
17,0,1.4154
17,END,
18,0,1.2282
18,END,
19,0,1.4035
19,END,
