task,epoch,train_loss
0,0,0.2686
0,END,
1,0,1.3124
1,END,
2,0,1.1611
2,END,
3,0,1.1992
3,END,
4,0,1.2271
4,END,
5,0,1.3738
5,END,
6,0,1.2508
6,END,
7,0,1.3343
7,END,
8,0,1.4055
8,END,
9,0,1.3324
9,END,
