task,epoch,train_loss
0,0,1.5056
0,END,
1,0,8.6818
1,END,
2,0,9.393
2,END,
3,0,8.0839
3,END,
4,0,7.6814
4,END,
5,0,7.2335
5,END,
6,0,6.7685
6,END,
7,0,6.7089
7,END,
8,0,6.3498
8,END,
9,0,6.3728
9,END,
10,0,6.3307
10,END,
11,0,6.3027
11,END,
12,0,8.0901
12,END,
13,0,7.4124
13,END,
14,0,7.0292
14,END,
15,0,6.6272
15,END,
16,0,6.842
16,END,
17,0,7.2945
17,END,
18,0,5.7248
18,END,
19,0,8.0904
19,END,
