task,epoch,train_loss
0,0,1.2859
0,END,
1,0,1.2794
1,END,
2,0,1.2668
2,END,
3,0,1.2741
3,END,
4,0,1.2901
4,END,
5,0,1.2874
5,END,
6,0,1.2651
6,END,
7,0,1.2699
7,END,
8,0,1.2924
8,END,
9,0,1.2495
9,END,
