task,epoch,train_loss
0,0,1.7987
0,END,
1,0,1.8849
1,END,
2,0,2.048
2,END,
3,0,2.4257
3,END,
4,0,2.8071
4,END,
5,0,3.6294
5,END,
6,0,3.665
6,END,
7,0,4.564
7,END,
8,0,4.5933
8,END,
9,0,4.5061
9,END,
10,0,4.8984
10,END,
11,0,5.1868
11,END,
12,0,5.0361
12,END,
13,0,5.0485
13,END,
14,0,5.1303
14,END,
15,0,4.9776
15,END,
16,0,5.1014
16,END,
17,0,5.2085
17,END,
18,0,5.382
18,END,
19,0,5.2678
19,END,
