task,epoch,train_loss
0,0,0.2772
0,END,
1,0,0.2152
1,END,
2,0,0.2002
2,END,
3,0,0.1885
3,END,
4,0,0.1831
4,END,
5,0,0.1762
5,END,
6,0,0.1715
6,END,
7,0,0.1719
7,END,
8,0,0.1703
8,END,
9,0,0.1666
9,END,
