task,epoch,train_loss
0,0,0.177
0,END,
1,0,0.1399
1,END,
2,0,0.1294
2,END,
3,0,0.1308
3,END,
4,0,0.1291
4,END,
5,0,0.1336
5,END,
6,0,0.1333
6,END,
7,0,0.1345
7,END,
8,0,0.1377
8,END,
9,0,0.1388
9,END,
