task,epoch,train_loss
0,0,0.3135
0,END,
1,0,1.3814
1,END,
2,0,1.1787
2,END,
3,0,1.0269
3,END,
4,0,1.013
4,END,
5,0,1.0187
5,END,
6,0,0.9953
6,END,
7,0,1.0082
7,END,
8,0,0.9898
8,END,
9,0,0.98
9,END,
