task,epoch,train_loss
0,0,1.452
0,END,
1,0,1.5771
1,END,
2,0,1.4449
2,END,
3,0,1.4536
3,END,
4,0,1.351
4,END,
5,0,1.6885
5,END,
6,0,1.4692
6,END,
7,0,1.4633
7,END,
8,0,1.4977
8,END,
9,0,1.2216
9,END,
10,0,1.2291
10,END,
11,0,1.2689
11,END,
12,0,1.165
12,END,
13,0,1.3071
13,END,
14,0,1.2538
14,END,
15,0,1.4052
15,END,
16,0,1.2841
16,END,
17,0,1.3788
17,END,
18,0,1.2657
18,END,
19,0,1.253
19,END,
